record_id,timestamp,client_ip,field_a,field_b,field_c,field_d,field_e,field_f,is_anomaly
439bbb42-fe8c-4c54-a8d9-151aeaeb2473,2026-05-01 13:25:21,10[.]26[.]160[.]74,POST,/api/v1/dashboard/stats?limit[=]50,ALLOW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",240.83,,0
ad0f176e-94a7-4e11-b906-8425c428a567,2026-05-04 13:56:55,56[.]1[.]234[.]162,GET,/static/css/theme.css,ALLOW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",138.07,,0
3c2f991b-f0a0-40da-bd44-69745e484491,2026-05-14 15:12:15,192[.]168[.]4[.]74,GET,/api/v1/auth/login?sort[=]price_asc,ALLOW,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,79.75,,0
e0c516e3-fc98-4781-88c6-6de914dac212,2026-05-12 09:00:55,192[.]168[.]7[.]139,GET,/api/v1/notifications,ALLOW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",180.56,,0
2f3044d3-84b8-43cd-b599-b5f1db4a4710,2026-05-13 11:00:07,172[.]28[.]196[.]150,PUT,/api/v1/orders/8031?q[=]book,ALLOW,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,120.23,,0
9e32f695-c6c0-4f5a-b4eb-d8430d7358d9,2026-05-08 15:38:02,192[.]168[.]7[.]121,GET,/api/v1/users/settings?filter[=]active,ALLOW,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,120.36,,0
b9717efd-c9fa-48d5-a836-0101bc716147,2026-05-10 14:31:10,192[.]168[.]5[.]60,GET,/about,ALLOW,Mozilla/5.0 (compatible; DuckDuckBot-Https/1.1; https://duckduckgo.com/duckduckbot),201.74,,0
91d29605-5dc2-4277-a40b-dbd24ae37d3a,2026-05-03 14:51:49,96[.]91[.]229[.]155,GET,/api/v1/auth/logout?page[=]14&limit[=]20,ALLOW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",93.58,,0
f4465f89-e2fb-4673-bf37-f975b9b01baf,2026-05-03 08:25:49,181[.]157[.]28[.]6,GET,/api/v1/cart/items?category[=]sports,ALLOW,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",245.2,,0
f86de96d-51fa-4f00-9f33-1865cba807e2,2026-05-07 10:12:58,192[.]168[.]6[.]147,GET,/api/v1/wishlist?sort[=]created_desc,ALLOW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",158.97,,0
